sea bay;river;catch year;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14
shelikhova bay;nayakhan;2007;-0,097530;-0,069588;-0,037415;-0,034110;0,020243;0,002321;0,001423;-0,004035;-0,010734;0,023396;0,003166;-0,013150;-0,013655;-0,016663
shelikhova bay;nayakhan;2007;-0,013392;-0,069695;0,012292;-0,012200;0,002051;-0,003896;0,015226;-0,019932;-0,002285;0,009562;0,002887;0,006352;0,005446;-0,001459
shelikhova bay;nayakhan;2007;-0,049443;0,014167;0,022230;0,007288;-0,011156;-0,003355;-0,034718;-0,015131;-0,013326;-0,035598;0,011307;0,011200;0,005519;-0,017092
taui bay;ola;2006;-0,046642;-0,026513;-0,010048;-0,011869;-0,010852;0,034216;-0,041696;0,001769;-0,005683;0,016324;-0,016559;0,007045;-0,005809;-0,000140
taui bay;ola;2006;-0,003531;0,005564;-0,024167;0,008354;-0,029296;0,014350;0,015003;-0,002881;-0,010888;-0,005334;-0,010681;0,001176;0,007873;0,005888
taui bay;ola;2006;-0,014277;-0,008290;-0,012476;-0,008745;-0,010890;-0,001062;0,014159;-0,007511;-0,008921;0,004391;0,005000;0,024315;0,000264;-0,005781
taui bay;ola;2006;-0,008300;0,003229;0,001855;0,008985;0,008946;0,013065;-0,010815;0,020246;0,007276;-0,006421;0,015872;-0,012868;0,004680;0,008627
taui bay;ola;2006;0,021612;-0,019858;-0,043018;0,008140;-0,001036;0,020254;-0,004390;-0,001398;-0,005799;-0,007164;-0,006838;-0,005265;0,004936;0,009447
taui bay;ola;2006;-0,097426;0,031355;-0,014413;-0,005052;-0,005422;-0,003424;-0,013809;-0,016875;0,004873;0,008599;-0,010462;0,018053;-0,003804;-0,002233
taui bay;ola;2006;-0,022647;-0,009756;-0,055498;-0,034122;-0,012706;-0,012420;0,020168;0,002230;0,003962;0,011517;-0,010775;-0,001163;0,005401;0,000948
taui bay;ola;2006;-0,026149;-0,048344;-0,021549;0,001136;0,004931;-0,007010;0,014509;0,002098;-0,013962;0,008543;-0,011727;0,007117;0,009343;0,003991
taui bay;ola;2006;0,009907;-0,044013;0,041409;0,007876;-0,010872;-0,011547;0,006132;0,016658;0,012190;0,003290;-0,025728;0,000941;-0,010848;-0,007898
taui bay;ola;2006;0,008558;-0,003299;0,001930;-0,002623;0,047942;0,000877;-0,002081;-0,021496;0,009786;0,002604;-0,003399;0,013777;0,012234;-0,002262
taui bay;ola;2006;-0,061115;-0,028383;-0,009663;-0,029320;0,034930;-0,004761;-0,017073;-0,005735;-0,009675;0,001222;0,014296;-0,004815;-0,002549;0,009038
taui bay;ola;2006;0,023681;0,027758;-0,023580;-0,021091;-0,032548;0,025582;-0,000687;-0,010637;-0,009865;0,010056;-0,002292;-0,020016;-0,009589;0,018510
taui bay;ola;2006;0,064968;-0,064564;0,010327;-0,006678;-0,016551;-0,032749;0,023600;0,016136;0,021219;-0,025605;-0,025829;0,011611;-0,019505;0,004080
taui bay;ola;2006;-0,103319;0,111865;0,009497;-0,005905;0,015089;-0,010393;-0,013560;-0,012476;0,010750;-0,002022;-0,000902;0,000715;0,007342;-0,000015
taui bay;ola;2006;0,068732;0,007899;-0,013593;-0,003390;-0,017893;0,030898;0,006488;0,003179;0,003340;-0,008904;-0,011229;0,001112;0,008344;-0,003236
taui bay;ola;2006;-0,055187;0,061704;0,014507;-0,000492;-0,039369;0,018048;0,006038;-0,003154;0,000807;0,018474;0,000409;0,014328;-0,005129;0,003597
taui bay;ola;2006;0,059148;0,025948;-0,020297;0,009868;-0,010588;-0,007125;-0,008906;0,014965;-0,004467;0,003112;-0,008668;-0,001853;0,001934;-0,000309
taui bay;ola;2006;0,011929;-0,043432;-0,016785;-0,006378;-0,026203;0,007302;0,006125;0,029713;-0,001669;-0,012622;0,014872;-0,001759;-0,001696;-0,003891
taui bay;ola;2006;-0,055015;-0,056844;-0,039523;-0,047455;0,018884;0,051030;0,007859;-0,013937;0,043556;-0,017827;-0,010489;0,012906;-0,023056;0,000178
taui bay;ola;2006;0,006156;-0,027762;-0,013233;0,012872;-0,015281;0,002679;0,013877;0,007332;0,006820;0,001468;0,000103;0,001563;0,007676;-0,008091
taui bay;ola;2006;0,039787;0,017294;-0,047353;0,024929;-0,028655;0,012283;0,008410;0,004261;0,008817;0,006890;0,016464;0,006079;-0,000159;-0,001192
taui bay;ola;2006;0,019944;0,018734;0,002908;0,031082;0,019662;-0,009964;-0,001780;0,025142;-0,003755;0,015696;0,002363;0,009106;-0,004591;0,006039
taui bay;ola;2006;0,128172;0,012064;-0,016204;-0,017888;0,053854;-0,019142;-0,012908;-0,014762;0,023164;0,010606;0,002813;0,012435;0,014647;0,017907
taui bay;ola;2006;-0,004974;0,011029;-0,038867;-0,019547;-0,023114;-0,007757;-0,001384;0,009788;-0,008600;0,005359;-0,003303;-0,003857;0,021369;-0,014015
taui bay;ola;2006;-0,045210;-0,059190;-0,029222;0,000741;-0,001457;-0,041865;0,019181;-0,031606;-0,000900;-0,002689;0,003032;-0,011891;-0,012752;0,005256
